statename,activity
Alabama,3.826923076923077
Alaska,4.211538461538462
Arizona,4.673076923076923
Arkansas,3.4423076923076925
California,3.4038461538461537
Colorado,2.9038461538461537
Connecticut,2.6153846153846154
Delaware,1.75
District of Columbia,2.8653846153846154
Florida,2.2884615384615383
Georgia,4.5576923076923075
Hawaii,2.576923076923077
Idaho,1.4423076923076923
Illinois,3.1923076923076925
Indiana,3.480769230769231
Iowa,2.0
Kansas,3.5384615384615383
Kentucky,4.096153846153846
Louisiana,4.4423076923076925
Maine,1.0576923076923077
Maryland,2.4038461538461537
Massachusetts,3.3461538461538463
Michigan,2.9615384615384617
Minnesota,3.0384615384615383
Mississippi,4.115384615384615
Missouri,3.1923076923076925
Montana,0.9807692307692307
Nebraska,3.8653846153846154
Nevada,2.6346153846153846
New Hampshire,2.230769230769231
New Jersey,3.4038461538461537
New Mexico,3.8846153846153846
New York,2.7884615384615383
New York City,3.4615384615384617
North Carolina,2.769230769230769
North Dakota,1.5769230769230769
Ohio,2.1153846153846154
Oklahoma,3.48
Oregon,3.3076923076923075
Pennsylvania,3.1923076923076925
Puerto Rico,3.4038461538461537
Rhode Island,2.8846153846153846
South Carolina,4.8076923076923075
South Dakota,3.673076923076923
Tennessee,2.5384615384615383
Texas,3.673076923076923
Utah,1.9019607843137254
Vermont,2.5576923076923075
Virginia,4.019230769230769
Washington,2.25
West Virginia,3.0576923076923075
Wisconsin,2.5576923076923075
Wyoming,3.6153846153846154
