statename,activity
Alabama,4.384615384615385
Alaska,2.8846153846153846
Arizona,3.230769230769231
Arkansas,3.3076923076923075
California,2.673076923076923
Colorado,4.615384615384615
Commonwealth of the Northern Mariana Islands,0.0
Connecticut,2.8461538461538463
Delaware,1.2884615384615385
District of Columbia,2.4615384615384617
Florida,1.9423076923076923
Georgia,4.75
Hawaii,1.9615384615384615
Idaho,1.6923076923076923
Illinois,2.576923076923077
Indiana,3.3461538461538463
Iowa,2.3461538461538463
Kansas,3.076923076923077
Kentucky,3.6153846153846154
Louisiana,5.480769230769231
Maine,2.3846153846153846
Maryland,2.6923076923076925
Massachusetts,2.9038461538461537
Michigan,1.8076923076923077
Minnesota,3.0961538461538463
Mississippi,3.423076923076923
Missouri,3.269230769230769
Montana,2.019230769230769
Nebraska,3.0384615384615383
Nevada,2.480769230769231
New Hampshire,1.8076923076923077
New Jersey,4.019230769230769
New Mexico,3.7884615384615383
New York,3.1346153846153846
New York City,3.769230769230769
North Carolina,3.3846153846153846
North Dakota,1.9423076923076923
Ohio,1.7115384615384615
Oklahoma,3.9615384615384617
Oregon,2.8461538461538463
Pennsylvania,3.1153846153846154
Puerto Rico,3.7884615384615383
Rhode Island,3.480769230769231
South Carolina,4.423076923076923
South Dakota,1.6666666666666667
Tennessee,2.173076923076923
Texas,3.923076923076923
Utah,4.019230769230769
Vermont,2.5576923076923075
Virginia,4.384615384615385
Washington,2.1923076923076925
West Virginia,2.75
Wisconsin,2.8461538461538463
Wyoming,2.7115384615384617
