statename,activity
Alabama,4.280701754385965
Alaska,3.210526315789474
Arizona,2.017543859649123
Arkansas,2.7719298245614037
California,4.491228070175438
Colorado,2.508771929824561
Connecticut,2.0526315789473686
Delaware,2.6578947368421053
District of Columbia,2.4705882352941178
Florida,2.3684210526315788
Georgia,3.736842105263158
Hawaii,1.105263157894737
Idaho,2.1403508771929824
Illinois,3.0
Indiana,2.6315789473684212
Iowa,2.0
Kansas,2.456140350877193
Kentucky,2.456140350877193
Louisiana,4.666666666666667
Maine,1.5087719298245614
Maryland,2.8421052631578947
Massachusetts,1.8596491228070176
Michigan,1.8596491228070176
Minnesota,1.6491228070175439
Mississippi,3.280701754385965
Missouri,3.1578947368421053
Montana,1.8421052631578947
Nebraska,2.912280701754386
Nevada,2.1578947368421053
New Hampshire,1.6666666666666667
New Jersey,2.526315789473684
New Mexico,4.87719298245614
New York,2.3333333333333335
New York City,2.473684210526316
North Carolina,2.5789473684210527
North Dakota,3.087719298245614
Ohio,1.7719298245614035
Oklahoma,3.087719298245614
Oregon,1.9473684210526316
Pennsylvania,2.2982456140350878
Rhode Island,1.9649122807017543
South Carolina,2.6315789473684212
South Dakota,1.5614035087719298
Tennessee,2.3859649122807016
Texas,3.1403508771929824
Utah,2.43859649122807
Vermont,1.8421052631578947
Virginia,3.5789473684210527
Washington,2.175438596491228
West Virginia,2.9473684210526314
Wisconsin,2.4035087719298245
Wyoming,1.8421052631578947
