statename,activity
Alabama,3.423076923076923
Alaska,1.6923076923076923
Arizona,2.173076923076923
Arkansas,2.2115384615384617
California,1.9423076923076923
Colorado,2.764705882352941
Connecticut,1.7307692307692308
Delaware,2.1538461538461537
District of Columbia,0.9038461538461539
Florida,1.8653846153846154
Georgia,2.75
Hawaii,2.5576923076923075
Idaho,1.9615384615384615
Illinois,3.1153846153846154
Indiana,2.769230769230769
Iowa,1.6346153846153846
Kansas,2.8076923076923075
Kentucky,1.1923076923076923
Louisiana,3.8653846153846154
Maine,1.3461538461538463
Maryland,2.25
Massachusetts,2.2115384615384617
Michigan,2.8653846153846154
Minnesota,2.326923076923077
Mississippi,3.576923076923077
Missouri,3.076923076923077
Montana,1.1538461538461537
Nebraska,2.576923076923077
Nevada,2.519230769230769
New Hampshire,1.4423076923076923
New Jersey,3.3076923076923075
New Mexico,1.9423076923076923
New York,2.1346153846153846
New York City,3.25
North Carolina,2.423076923076923
North Dakota,2.019230769230769
Ohio,2.3076923076923075
Oklahoma,2.2115384615384617
Oregon,2.1923076923076925
Pennsylvania,1.5192307692307692
Rhode Island,1.8846153846153846
South Carolina,2.3076923076923075
South Dakota,2.0576923076923075
Tennessee,2.7884615384615383
Texas,4.019230769230769
Utah,3.1538461538461537
Vermont,2.9423076923076925
Virginia,3.5384615384615383
Washington,2.0
West Virginia,1.9230769230769231
Wisconsin,1.6538461538461537
Wyoming,2.5576923076923075
